date,year,month,anomaly
1970-01,1970,1,0.2
1970-02,1970,2,-0.05
1970-03,1970,3,0.04
1970-04,1970,4,0.17
1970-05,1970,5,-0.12
1970-06,1970,6,-0.42
1970-07,1970,7,-0.65
1970-08,1970,8,-0.88
1970-09,1970,9,-1.04
1970-10,1970,10,-0.89
1970-11,1970,11,-0.96
1970-12,1970,12,-1.18
1971-01,1971,1,-1.71
1971-02,1971,2,-1.46
1971-03,1971,3,-1.3
1971-04,1971,4,-0.94
1971-05,1971,5,-0.92
1971-06,1971,6,-1.04
1971-07,1971,7,-0.9
1971-08,1971,8,-0.93
1971-09,1971,9,-1.05
1971-10,1971,10,-1.05
1971-11,1971,11,-0.92
1971-12,1971,12,-0.86
1972-01,1972,1,-0.68
1972-02,1972,2,-0.2
1972-03,1972,3,-0.16
1972-04,1972,4,0.2
1972-05,1972,5,0.23
1972-06,1972,6,0.41
1972-07,1972,7,0.64
1972-08,1972,8,0.73
1972-09,1972,9,0.76
1972-10,1972,10,1.12
1972-11,1972,11,1.3
1972-12,1972,12,1.26
1973-01,1973,1,1.09
1973-02,1973,2,0.91
1973-03,1973,3,0.39
1973-04,1973,4,-0.39
1973-05,1973,5,-0.64
1973-06,1973,6,-0.92
1973-07,1973,7,-1.13
1973-08,1973,8,-1.24
1973-09,1973,9,-1.43
1973-10,1973,10,-1.6
1973-11,1973,11,-2.05
1973-12,1973,12,-2.18
1974-01,1974,1,-2.04
1974-02,1974,2,-1.6
1974-03,1974,3,-1.38
1974-04,1974,4,-1.11
1974-05,1974,5,-1.08
1974-06,1974,6,-0.61
1974-07,1974,7,-0.96
1974-08,1974,8,-0.57
1974-09,1974,9,-0.67
1974-10,1974,10,-1.08
1974-11,1974,11,-1.11
1974-12,1974,12,-0.97
1975-01,1975,1,-0.58
1975-02,1975,2,-0.57
1975-03,1975,3,-0.87
1975-04,1975,4,-0.75
1975-05,1975,5,-0.98
1975-06,1975,6,-1.33
1975-07,1975,7,-1.21
1975-08,1975,8,-1.47
1975-09,1975,9,-1.69
1975-10,1975,10,-1.72
1975-11,1975,11,-1.51
1975-12,1975,12,-1.97
1976-01,1976,1,-1.74
1976-02,1976,2,-1.04
1976-03,1976,3,-0.83
1976-04,1976,4,-0.59
1976-05,1976,5,-0.61
1976-06,1976,6,-0.3
1976-07,1976,7,-0.1
1976-08,1976,8,-0.01
1976-09,1976,9,0.16
1976-10,1976,10,0.52
1976-11,1976,11,0.66
1976-12,1976,12,0.36
1977-01,1977,1,0.57
1977-02,1977,2,0.25
1977-03,1977,3,0.18
1977-04,1977,4,-0.23
1977-05,1977,5,-0.16
1977-06,1977,6,0.23
1977-07,1977,7,0.37
1977-08,1977,8,-0.01
1977-09,1977,9,0.26
1977-10,1977,10,0.59
1977-11,1977,11,0.61
1977-12,1977,12,0.61
1978-01,1978,1,0.52
1978-02,1978,2,0.31
1978-03,1978,3,0.02
1978-04,1978,4,-0.49
1978-05,1978,5,-0.35
1978-06,1978,6,-0.47
1978-07,1978,7,-0.33
1978-08,1978,8,-0.77
1978-09,1978,9,-0.45
1978-10,1978,10,-0.44
1978-11,1978,11,-0.2
1978-12,1978,12,0.09
1979-01,1979,1,0.05
1979-02,1979,2,0.05
1979-03,1979,3,0.07
1979-04,1979,4,0.05
1979-05,1979,5,-0.06
1979-06,1979,6,-0.05
1979-07,1979,7,-0.13
1979-08,1979,8,-0.2
1979-09,1979,9,0.17
1979-10,1979,10,0.04
1979-11,1979,11,0.33
1979-12,1979,12,0.48
1980-01,1980,1,0.44
1980-02,1980,2,0.35
1980-03,1980,3,0.18
1980-04,1980,4,0.13
1980-05,1980,5,0.23
1980-06,1980,6,0.3
1980-07,1980,7,0.1
1980-08,1980,8,-0.35
1980-09,1980,9,-0.36
1980-10,1980,10,-0.2
1980-11,1980,11,0.08
1980-12,1980,12,0.1
1981-01,1981,1,-0.45
1981-02,1981,2,-0.42
1981-03,1981,3,-0.11
1981-04,1981,4,-0.57
1981-05,1981,5,-0.29
1981-06,1981,6,-0.33
1981-07,1981,7,-0.55
1981-08,1981,8,-0.39
1981-09,1981,9,-0.22
1981-10,1981,10,-0.16
1981-11,1981,11,-0.42
1981-12,1981,12,-0.12
1982-01,1982,1,0.07
1982-02,1982,2,-0.13
1982-03,1982,3,0.03
1982-04,1982,4,0.26
1982-05,1982,5,0.53
1982-06,1982,6,0.8
1982-07,1982,7,0.34
1982-08,1982,8,0.44
1982-09,1982,9,1.04
1982-10,1982,10,1.48
1982-11,1982,11,1.4
1982-12,1982,12,1.61
1983-01,1983,1,1.68
1983-02,1983,2,1.48
1983-03,1983,3,1.15
1983-04,1983,4,0.66
1983-05,1983,5,0.68
1983-06,1983,6,0.41
1983-07,1983,7,-0.13
1983-08,1983,8,-0.23
1983-09,1983,9,-0.51
1983-10,1983,10,-1.08
1983-11,1983,11,-1.04
1983-12,1983,12,-0.77
1984-01,1984,1,-0.79
1984-02,1984,2,-0.47
1984-03,1984,3,-0.6
1984-04,1984,4,-0.66
1984-05,1984,5,-0.69
1984-06,1984,6,-0.82
1984-07,1984,7,-0.54
1984-08,1984,8,-0.46
1984-09,1984,9,-0.41
1984-10,1984,10,-0.74
1984-11,1984,11,-0.97
1984-12,1984,12,-1.21
1985-01,1985,1,-0.8
1985-02,1985,2,-0.83
1985-03,1985,3,-0.88
1985-04,1985,4,-1.01
1985-05,1985,5,-0.88
1985-06,1985,6,-0.85
1985-07,1985,7,-0.49
1985-08,1985,8,-0.46
1985-09,1985,9,-0.47
1985-10,1985,10,-0.4
1985-11,1985,11,-0.29
1985-12,1985,12,-0.25
1986-01,1986,1,-0.5
1986-02,1986,2,-0.32
1986-03,1986,3,-0.3
1986-04,1986,4,-0.29
1986-05,1986,5,-0.22
1986-06,1986,6,-0.06
1986-07,1986,7,0.13
1986-08,1986,8,0.33
1986-09,1986,9,0.51
1986-10,1986,10,0.52
1986-11,1986,11,1.01
1986-12,1986,12,0.94
1987-01,1987,1,0.84
1987-02,1987,2,0.9
1987-03,1987,3,0.87
